i,d,y,n,resid_ols,resid_wls
5,2024-12-21,103.855957468639,24,4.263461351700755,4.188906938976075
5,2024-12-22,103.640483864744,23,4.528849601650165,4.454431857464002
5,2024-12-23,102.91208232683,13,4.278400537590414,4.204118880149252
5,2024-12-24,102.681804857412,23,4.523121832562609,4.448975685725202
5,2024-12-25,102.325885724807,24,4.639204299459891,4.5651930929079185
5,2024-12-26,101.93436368426,23,4.716644125012863,4.642767294419528
5,2024-12-27,101.225708300234,15,4.473869204676035,4.400126191873142
5,2024-12-28,100.436878755243,19,4.1477979637915325,4.0741882169346155
5,2024-12-29,99.6884016121985,19,3.8589171319961793,3.7854401057279006
5,2024-12-30,98.7685770552692,23,3.395487995868592,3.32214315148002
5,2024-12-31,98.1261103295678,23,3.206177850126366,3.132964655716407
5,2025-01-01,97.7227263753234,23,3.252674643028598,3.1795925736614237
5,2025-01-02,97.18565506143624,20,3.162172220877153,3.089220758737511
5,2025-01-03,96.21491023358156,24,2.634649386780211,2.5618280213266758
5,2025-01-05,95.7500063675299,23,3.046013606123239,2.973450932266033
5,2025-01-06,94.9805796627224,23,2.7095678998335586,2.6371338361808085
5,2025-01-07,94.668351156947,23,2.826843327622001,2.7545373942160865
5,2025-01-08,94.4069192520636,18,2.9914082985770136,2.919230023467179
5,2025-01-09,93.7797473576671,20,2.786697267316981,2.714646186698843
5,2025-01-10,93.269715972993,23,2.6955628244637495,2.623638482816702
5,2025-01-11,92.4602262981839,23,2.3013793161681093,2.229581266389985
5,2025-01-12,92.004672622868,21,2.2575152406345182,2.185843044174021
5,2025-01-13,91.4939026128202,15,2.1547935424144953,2.0832467694007875
5,2025-01-14,90.44843496412494,24,1.5137092738847144,1.4422875032548177
5,2025-01-15,89.8872796359788,23,1.3532498350462134,1.281952654669567
5,2025-01-16,88.88419355706421,14,0.7471506865738888,0.6759776933741648
5,2025-01-17,88.9533792118882,23,1.2095939425077091,1.1385447425822548
5,2025-01-18,88.4971581744813,20,1.1428819099797067,1.0719561187160025
5,2025-01-22,119.142859645245,24,18.734382479262905,18.701861968109597
5,2025-01-23,117.920819312657,13,17.88285817249249,17.850459290176502
5,2025-01-24,117.839858143481,15,18.168572302665538,18.136294722606976
5,2025-01-25,116.912036238464,23,17.603573569761323,17.5714169754076
