i,T_M,T_L,L_years,retired,EAC,param,level,c_value
8,50,540,2.01,True,178.324,c_l,-0.1,10.8
9,60,300,2.87,True,135.877,c_l,-0.1,10.8
10,40,180,1.3,True,279.518,c_l,-0.1,10.8
1,120,720,20.0,False,30.222,c_l,0.0,12.0
2,80,450,8.46,True,58.877,c_l,0.0,12.0
3,80,240,2.96,True,133.133,c_l,0.0,12.0
4,120,inf,20.0,False,24.132,c_l,0.0,12.0
5,90,540,5.62,True,73.726,c_l,0.0,12.0
6,120,inf,20.0,False,24.132,c_l,0.0,12.0
7,120,450,8.47,True,54.293,c_l,0.0,12.0
8,60,inf,1.87,True,178.956,c_l,0.0,12.0
9,60,300,2.87,True,137.34,c_l,0.0,12.0
10,40,180,1.3,True,281.949,c_l,0.0,12.0
1,120,720,20.0,False,30.831,c_l,0.1,13.2
2,80,450,8.46,True,59.85,c_l,0.1,13.2
3,80,240,2.96,True,134.959,c_l,0.1,13.2
4,120,inf,20.0,False,24.132,c_l,0.1,13.2
5,90,540,5.62,True,74.538,c_l,0.1,13.2
6,120,inf,20.0,False,24.132,c_l,0.1,13.2
7,120,450,8.47,True,55.266,c_l,0.1,13.2
8,60,inf,1.87,True,178.956,c_l,0.1,13.2
9,60,300,2.87,True,138.802,c_l,0.1,13.2
10,40,180,1.3,True,284.381,c_l,0.1,13.2
1,120,720,20.0,False,31.44,c_l,0.2,14.4
2,80,450,8.46,True,60.824,c_l,0.2,14.4
3,80,240,2.96,True,136.784,c_l,0.2,14.4
4,120,inf,20.0,False,24.132,c_l,0.2,14.4
5,90,540,5.62,True,75.35,c_l,0.2,14.4
6,120,inf,20.0,False,24.132,c_l,0.2,14.4
7,120,450,8.47,True,56.24,c_l,0.2,14.4
8,60,inf,1.87,True,178.956,c_l,0.2,14.4
9,60,300,2.87,True,140.265,c_l,0.2,14.4
10,40,180,1.3,True,286.812,c_l,0.2,14.4
1,120,720,20.0,False,32.049,c_l,0.3,15.6
2,80,450,8.46,True,61.798,c_l,0.3,15.6
3,70,360,2.8,True,138.57,c_l,0.3,15.6
4,120,inf,20.0,False,24.132,c_l,0.3,15.6
5,90,540,5.62,True,76.162,c_l,0.3,15.6
6,120,inf,20.0,False,24.132,c_l,0.3,15.6
7,120,450,8.47,True,57.213,c_l,0.3,15.6
8,60,inf,1.87,True,178.956,c_l,0.3,15.6
9,60,300,2.87,True,141.727,c_l,0.3,15.6
10,40,180,1.3,True,289.243,c_l,0.3,15.6
