i,T_M,T_L,T_L_label,L_days,L_years,retired,n_M,n_L,cost_total,EAC
10,90,720,720,331,0.906,True,3.68,0.46,316.55,349.305
10,90,99999,inf,331,0.906,True,3.68,0.0,311.03,343.217
10,100,120,120,359,0.983,True,3.59,2.99,346.67,352.705
10,100,180,180,352,0.964,True,3.52,1.96,334.03,346.6
10,100,240,240,349,0.956,True,3.49,1.45,327.92,343.188
10,100,300,300,342,0.936,True,3.42,1.14,323.94,345.962
10,100,360,360,329,0.901,True,3.29,0.91,320.84,356.187
10,100,450,450,329,0.901,True,3.29,0.73,318.64,353.752
10,100,540,540,329,0.901,True,3.29,0.61,317.18,352.129
10,100,720,720,329,0.901,True,3.29,0.46,315.35,350.1
10,100,99999,inf,329,0.901,True,3.29,0.0,309.87,344.012
10,120,120,120,351,0.961,True,2.92,2.92,343.88,357.836
10,120,180,180,341,0.934,True,2.84,1.89,331.26,354.816
10,120,240,240,337,0.923,True,2.81,1.4,325.28,352.542
10,120,300,300,326,0.893,True,2.72,1.09,321.19,359.861
10,120,360,360,315,0.862,True,2.62,0.88,318.38,369.163
10,120,450,450,315,0.862,True,2.62,0.7,316.27,366.728
10,120,540,540,315,0.862,True,2.62,0.58,314.88,365.105
10,120,720,720,315,0.862,True,2.62,0.44,313.12,363.076
10,120,99999,inf,315,0.862,True,2.62,0.0,307.88,356.988
